taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey
5229177	Circus maillardi J.Verreaux, 1862	5229177	Circus maillardi J.Verreaux, 1862	288	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Accipitriformes	7191147	Accipitridae	2877	Circus	2480481	Circus maillardi	5229177
5230288	Criniger olivaceus (Swainson, 1837)	5230288	Criniger olivaceus (Swainson, 1837)	205	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Pycnonotidae	5277	Criniger	2486108	Criniger olivaceus	5230288
5231845	Columba sjostedti Reichenow, 1901	5231845	Columba sjostedti Reichenow, 1901	135	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Columbiformes	1446	Columbidae	5233	Columba	2495404	Columba sjostedti	5231845
5788444	Brachypteracias squamiger	5788444	Brachypteracias squamiger	272	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Coraciiformes	1447	Brachypteraciidae	5216	Brachypteracias	2475330	Brachypteracias squamiger	5788444
5788919	Rhynchostruthus louisae Lort Phillips, 1897	5788919	Rhynchostruthus louisae Lort Phillips, 1897	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Fringillidae	5242	Rhynchostruthus	2494339	Rhynchostruthus louisae	5788919
5789284	Onychoprion fuscatus (Linnaeus, 1766)	5229252	Sterna fuscata Linnaeus, 1766	15838	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Laridae	9316	Sterna	2481227	Sterna fuscata	5229252
6101170	Aerodramus sororum	6101170	Aerodramus sororum	515	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Apodiformes	1448	Apodidae	2993	Aerodramus	2477184	Aerodramus sororum	6101170
7340211	Hierococcyx varius	7340211	Hierococcyx varius	45115	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Cuculiformes	1492	Cuculidae	9309	Hierococcyx	8407745	Hierococcyx varius	7340211
7647367	Prioniturus mindorensis Steere, 1890	7647367	Prioniturus mindorensis Steere, 1890	58	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Psittaciformes	1445	Psittacidae	9340	Prioniturus	2480031	Prioniturus mindorensis	7647367
9686089	Leistes defilippii	9686089	Leistes defilippii	88	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Fringillidae	5242	Leistes	4846742	Leistes defilippii	9686089
2476132	Campylopterus phainopeplus Salvin & Godman, 1879	2476132	Campylopterus phainopeplus Salvin & Godman, 1879	9	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Apodiformes	1448	Trochilidae	5289	Campylopterus	2476112	Campylopterus phainopeplus	2476132
2477457	Taoniscus nanus (Temminck, 1815)	2477457	Taoniscus nanus (Temminck, 1815)	39	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Tinamiformes	726	Tinamidae	9353	Taoniscus	2477456	Taoniscus nanus	2477457
2479087	Forpus coelestis (Lesson, 1847)	2479087	Forpus coelestis (Lesson, 1847)	8398	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Psittaciformes	1445	Psittacidae	9340	Forpus	2479059	Forpus coelestis	2479087
2480265	Haematopus leucopodus Garnot, 1826	2480265	Haematopus leucopodus Garnot, 1826	8854	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Haematopodidae	4287243	Haematopus	2480260	Haematopus leucopodus	2480265
2481484	Pterodroma arminjoniana (Giglioli & Salvadori, 1869)	2481484	Pterodroma arminjoniana (Giglioli & Salvadori, 1869)	528	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Procellariiformes	7192755	Procellariidae	9339	Pterodroma	2481443	Pterodroma arminjoniana	2481484
2482077	Podilymbus podiceps (Linnaeus, 1758)	2482077	Podilymbus podiceps (Linnaeus, 1758)	2087986	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Podicipediformes	7191588	Podicipedidae	9338	Podilymbus	2482075	Podilymbus podiceps	2482077
2486088	Phyllastrephus debilis (W.L.Sclater, 1899)	2486088	Phyllastrephus debilis (W.L.Sclater, 1899)	281	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Pycnonotidae	5277	Phyllastrephus	2486082	Phyllastrephus debilis	2486088
2487250	Myzomela rosenbergii Schlegel, 1871	2487250	Myzomela rosenbergii Schlegel, 1871	839	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Meliphagidae	9319	Myzomela	2487237	Myzomela rosenbergii	2487250
2487559	Clytomyias insignis Sharpe, 1879	2487559	Clytomyias insignis Sharpe, 1879	141	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Maluridae	5251	Clytomyias	2487558	Clytomyias insignis	2487559
2488438	Ramphocelus nigrogularis (von Spix, 1825)	2488438	Ramphocelus nigrogularis (von Spix, 1825)	6464	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Thraupidae	9352	Ramphocelus	2488419	Ramphocelus nigrogularis	2488438
2488939	Conopophaga aurita (Gmelin, 1789)	2488939	Conopophaga aurita (Gmelin, 1789)	662	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Conopophagidae	9306	Conopophaga	2488931	Conopophaga aurita	2488939
2490220	Megastictus margaritatus (P.L.Sclater, 1855)	2490220	Megastictus margaritatus (P.L.Sclater, 1855)	436	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Thamnophilidae	5286	Megastictus	2490219	Megastictus margaritatus	2490220
2490307	Motacilla citreola Pallas, 1776	2490307	Motacilla citreola Pallas, 1776	24043	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Motacillidae	5257	Motacilla	2490295	Motacilla citreola	2490307
2490740	Turdus ruficollis Pallas, 1776	2490740	Turdus ruficollis Pallas, 1776	1080	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Turdidae	5290	Turdus	2490714	Turdus ruficollis	2490740
2491081	Ammospiza leconteii (Audubon, 1844)	2491080	Ammodramus leconteii (Audubon, 1844)	40725	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Emberizidae	9608	Ammodramus	2491079	Ammodramus leconteii	2491080
2492180	Urothraupis stolzmanni Taczanowski & von Berlepsch, 1885	2492180	Urothraupis stolzmanni Taczanowski & von Berlepsch, 1885	1016	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Thraupidae	9352	Urothraupis	2492179	Urothraupis stolzmanni	2492180
2493485	Garrulax merulinus Blyth, 1851	2493485	Garrulax merulinus Blyth, 1851	38	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Leiothrichidae	6101112	Garrulax	2493438	Garrulax merulinus	2493485
2494893	Parotia carolae Meyer, 1895	2494893	Parotia carolae Meyer, 1895	137	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Paradisaeidae	5711	Parotia	2494889	Parotia carolae	2494893
2495869	Columbina passerina (Linnaeus, 1758)	2495869	Columbina passerina (Linnaeus, 1758)	345490	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Columbiformes	1446	Columbidae	5233	Columbina	2495852	Columbina passerina	2495869
2497311	Asio stygius (Wagler, 1832)	2497311	Asio stygius (Wagler, 1832)	2770	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Strigiformes	1450	Strigidae	9348	Asio	8373955	Asio stygius	2497311
